Index,Stock,Date,Volume,Price,Score
1,ASO,1,4650600.0,31.139999,0.5719
2,ASO,1,4650600.0,31.139999,0.9109
3,ASO,1,4650600.0,31.139999,0.9109
4,ASO,1,4650600.0,31.139999,0.9109
5,ASO,1,4650600.0,31.139999,0.2161
6,ASO,1,4650600.0,31.139999,0.2263
7,ASO,1,4650600.0,31.139999,0.755
8,ASO,1,4650600.0,31.139999,0.755
9,ASO,1,4650600.0,31.139999,0.4404
10,ASO,1,4650600.0,31.139999,0.1779
11,ASO,1,4650600.0,31.139999,0.3598
12,ASO,1,4650600.0,31.139999,0.3598
13,ASO,1,4650600.0,31.139999,0.4199
14,ASO,1,4650600.0,31.139999,0.3182
15,ASO,1,4650600.0,31.139999,-0.594
16,ASO,1,4650600.0,31.139999,0.5106
17,ASO,1,4650600.0,31.139999,0.743
18,ASO,1,4650600.0,31.139999,0.4019
19,ASO,1,4650600.0,31.139999,0.6841
20,ASO,1,4650600.0,31.139999,0.1867
21,ASO,1,4650600.0,31.139999,0.8402
22,ASO,1,4650600.0,31.139999,0.6124
23,ASO,1,4650600.0,31.139999,-0.7573
24,ASO,1,4650600.0,31.139999,0.4812
25,ASO,1,4650600.0,31.139999,0.3612
26,ASO,1,4650600.0,31.139999,0.7351
27,ASO,1,4650600.0,31.139999,0.3612
28,ASO,1,4650600.0,31.139999,0.4588
29,ASO,1,4650600.0,31.139999,0.296
30,ASO,1,4650600.0,31.139999,-0.25
31,ASO,1,4650600.0,31.139999,0.128
32,ASO,1,4650600.0,31.139999,0.2617
33,ASO,1,4650600.0,31.139999,-0.0798
34,ASO,1,4650600.0,31.139999,0.6901
35,ASO,1,4650600.0,31.139999,0.4019
36,ASO,1,4650600.0,31.139999,-0.5267
37,ASO,1,4650600.0,31.139999,-0.4389
38,ASO,1,4650600.0,31.139999,0.25
39,ASO,1,4650600.0,31.139999,-0.5423
40,ASO,1,4650600.0,31.139999,-0.2846
41,ASO,1,4650600.0,31.139999,-0.4404
42,ASO,1,4650600.0,31.139999,0.4215
43,ASO,1,4650600.0,31.139999,0.5994
44,ASO,1,4650600.0,31.139999,-0.3732
45,ASO,1,4650600.0,31.139999,0.2401
46,ASO,1,4650600.0,31.139999,0.3134
47,ASO,1,4650600.0,31.139999,0.5113
48,ASO,1,4650600.0,31.139999,-0.5423
49,ASO,1,4650600.0,31.139999,0.4404
50,ASO,1,4650600.0,31.139999,0.3182
51,ASO,1,4650600.0,31.139999,0.3182
52,ASO,1,4650600.0,31.139999,0.4404
53,ASO,1,4650600.0,31.139999,0.2263
54,ASO,1,4650600.0,31.139999,-0.4767
55,ASO,1,4650600.0,31.139999,-0.1761
56,ASO,1,4650600.0,31.139999,-0.6015
57,ASO,1,4650600.0,31.139999,-0.6015
58,ASO,1,4650600.0,31.139999,-0.5423
59,ASO,1,4650600.0,31.139999,-0.4404
60,ASO,1,4650600.0,31.139999,0.6808
61,ASO,1,4650600.0,31.139999,0.5106
62,ASO,1,4650600.0,31.139999,0.6908
63,ASO,1,4650600.0,31.139999,-0.2732
64,ASO,1,4650600.0,31.139999,0.34
65,ASO,1,4650600.0,31.139999,-0.6486
66,ASO,1,4650600.0,31.139999,0.7706
67,ASO,1,4650600.0,31.139999,0.0258
68,ASO,1,4650600.0,31.139999,0.0258
69,ASO,1,4650600.0,31.139999,0.2263
70,ASO,1,4650600.0,31.139999,-0.25
71,ASO,1,4650600.0,31.139999,-0.3252
72,ASO,1,4650600.0,31.139999,-0.2732
73,ASO,1,4650600.0,31.139999,-0.6486
74,ASO,1,4650600.0,31.139999,0.6705
75,ASO,1,4650600.0,31.139999,-0.1779
76,ASO,1,4650600.0,31.139999,0.7964
77,ASO,1,4650600.0,31.139999,0.2023
78,ASO,1,4650600.0,31.139999,-0.4767
79,ASO,1,4650600.0,31.139999,0.6249
80,ASO,1,4650600.0,31.139999,-0.3612
81,ASO,1,4650600.0,31.139999,0.3182
82,ASO,1,4650600.0,31.139999,-0.2406
83,ASO,1,4650600.0,31.139999,0.8409
84,ASO,1,4650600.0,31.139999,-0.743
85,ASO,1,4650600.0,31.139999,-0.6486
86,ASO,1,4650600.0,31.139999,-0.5859
87,ASO,1,4650600.0,31.139999,0.4588
88,ASO,1,4650600.0,31.139999,-0.7984
89,ASO,1,4650600.0,31.139999,-0.296
90,ASO,1,4650600.0,31.139999,0.5411
91,ASO,1,4650600.0,31.139999,0.3252
92,ASO,1,4650600.0,31.139999,0.4404
93,ASO,1,4650600.0,31.139999,0.2732
94,ASO,1,4650600.0,31.139999,-0.5984
95,ASO,1,4650600.0,31.139999,0.34
96,ASO,1,4650600.0,31.139999,0.2023
97,ASO,1,4650600.0,31.139999,0.5719
98,ASO,1,4650600.0,31.139999,0.34
99,ASO,1,4650600.0,31.139999,0.0772
100,ASO,1,4650600.0,31.139999,0.6597
101,ASO,1,4650600.0,31.139999,-0.3818
102,ASO,1,4650600.0,31.139999,-0.2263
103,ASO,1,4650600.0,31.139999,0.25
104,ASO,1,4650600.0,31.139999,0.25
105,ASO,1,4650600.0,31.139999,0.9186
106,ASO,1,4650600.0,31.139999,-0.5423
107,ASO,1,4650600.0,31.139999,0.2023
108,ASO,1,4650600.0,31.139999,0.2732
109,ASO,1,4650600.0,31.139999,0.5719
110,ASO,1,4650600.0,31.139999,-0.4404
111,ASO,1,4650600.0,31.139999,-0.4019
112,ASO,1,4650600.0,31.139999,-0.1295
113,ASO,1,4650600.0,31.139999,-0.2732
114,ASO,1,4650600.0,31.139999,0.128
115,ASO,1,4650600.0,31.139999,-0.5229
116,ASO,1,4650600.0,31.139999,0.7717
117,ASO,1,4650600.0,31.139999,-0.1779
118,ASO,1,4650600.0,31.139999,0.765
119,ASO,1,4650600.0,31.139999,0.743
120,ASO,1,4650600.0,31.139999,0.1531
